title,category,id,sourceurl,publishdate,imageurl,content
"Big Tech May Look Troubled, but It’s Just Getting Started",Business,6f71e4fb-6bc9-4396-b469-24d5be4d1bc3,https://www.nytimes.com/2019/01/01/technology/big-tech-troubled-just-getting-started.html,20190101,https://static01.nyt.com/images/2018/12/27/business/00bigtech01/merlin_148372275_bad88144-35fb-49f7-9828-0c6c5e0d8810-articleLarge.jpg,"SAN JOSE, Calif. — Silicon Valley ended 2018 somewhere it had never been: embattled."
On Politics: Elizabeth Warren Is Running for President,Politics,697477b0-b90f-4611-8dc9-841306612eef,https://www.nytimes.com/2019/01/01/us/politics/elizabeth-warren-president.html,20190101,,Good Tuesday morning and Happy New Year. Here are some of the stories making news in Washington and politics today.
Insider Trading Remains a Fixture for Securities Enforcement,Business,ea6eac3b-b9c4-4599-8997-4c92ac417d9d,https://www.nytimes.com/2019/01/01/business/dealbook/insider-trading-enforcement-prosecution.html,20190101,https://static01.nyt.com/images/2019/01/02/business/02DB-HENNING-01/merlin_148664283_7a4c4d61-c10f-4dbc-9c1e-51afcf313f40-articleLarge.jpg, Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________
Netflix Blocks Show in Saudi Arabia Critical of Saudi Prince,Business,8194fb03-dca8-420c-92b2-1ff0d330500f,https://www.nytimes.com/2019/01/01/business/media/netflix-hasan-minhaj-saudi-arabia.html,20190101,https://static01.nyt.com/images/2019/01/02/business/02NETFLIX-01/02NETFLIX-01-articleLarge.jpg,"Netflix has blocked an episode of its show “Patriot Act With Hasan Minhaj” from streaming in Saudi Arabia after the Saudi government complained that the episode — which is critical of the crown prince, Mohammed bin Salman — violated its cybercrime laws."
Curbs on A.I. Exports? Silicon Valley Fears Losing Its Edge,Business,b3e49fb0-1442-486b-a5cd-6b8f08fd093f,https://www.nytimes.com/2019/01/01/technology/artificial-intelligence-export-restrictions.html,20190101,https://static01.nyt.com/images/2019/01/01/business/01aiexports-illo-print/merlin_148528041_13b55b7c-f1e5-4d32-87d5-658a980a24eb-articleLarge.jpg,SAN FRANCISCO — A common belief among tech industry insiders is that Silicon Valley has dominated the internet because much of the worldwide network was designed and built by Americans.
Will 2019 Be a Good Year for Investors? Here Are 4 Key Factors Affecting Stocks and the Economy,Business Day,94606fd6-8ab5-4cd2-aa19-361282a486d7,https://www.nytimes.com/interactive/2019/01/01/business/dealbook/stock-markets-2019.html,20190101,https://static01.nyt.com/images/2019/01/01/business/market-outlook-2019-1546294800699/market-outlook-2019-1546294800699-articleLarge.png,"After an unexpectedly bad year for the stock market, investors are eager for clues about what 2019 will bring."
Recent Commercial Real Estate Transactions,Business,9ceb6551-c43c-4c3e-a65e-8127bbf12516,https://www.nytimes.com/2019/01/01/realestate/commercial/new-york-commercial-real-estate.html,20190101,https://static01.nyt.com/images/2019/01/02/realestate/commercial/02trans/02trans-articleLarge.jpg,$33 MILLION
"In the Race for Content, Hollywood Is Buying Up Hit Podcasts",Business,e21f2682-25a4-4598-ba8b-5060188d2659,https://www.nytimes.com/2019/01/01/business/media/podcasts-hollywood-tv-shows.html,20190101,https://static01.nyt.com/images/2018/12/28/business/00PODTV-01/00PODTV-01-articleLarge.jpg,"The film mogul Darryl F. Zanuck was among the skeptics in the years before networks started broadcasting shows seven nights a week. “Television won’t be able to hold on to any market it captures after the first six months,” he infamously predicted. “People will soon get tired of staring at a plywood box every night.”"
"Log Cabins? No, These Wooden Buildings Are High-Rises",Business,9176a218-683e-43e6-9b2e-b3cb0a0e6ec6,https://www.nytimes.com/2019/01/01/business/timber-wood-construction-real-estate.html,20190101,https://static01.nyt.com/images/2019/01/02/business/02TIMBER-01/merlin_148337145_35a16718-b1b5-4806-8963-5a587c843952-articleLarge.jpg,Developers have not used wood for much other than houses since the horse-and-buggy days. But the knotty building material is making a comeback.
Chinese Companies Flocked to U.S. Markets in 2018. The Trade War May Have Had a Role.,Business,774faabd-5115-4712-81d2-62255ae0d866,https://www.nytimes.com/2019/01/02/business/dealbook/trade-war-china-ipos.html,20190102,https://static01.nyt.com/images/2019/01/03/business/dealbook/03db-chinaipo2/03db-chinaipo2-articleLarge.png,Get the DealBook newsletter to make sense of major business and policy headlines — and the power-brokers who shape them.__________
Hurricanes. Shootings. Fires. Time for an Editor’s Emergency Kit.,Business,e755e644-0992-4788-88b1-9c6250ee5fe2,https://www.nytimes.com/2019/01/02/technology/personaltech/breaking-emergency-news-tech.html,20190102,https://static01.nyt.com/images/2019/01/03/business/03techusing2/merlin_148665828_c589640e-f872-4fc7-8e24-13f66f7d6db2-articleLarge.jpg,"How do New York Times journalists use technology in their jobs and in their personal lives? Julie Bloom, a deputy editor for national coverage for The Times, discussed the tech she’s using."
Mitt Romney Faces Counterattacks From Trump Allies,Politics,e0245954-f8d7-4ef9-875f-f65a481c0e5e,https://www.nytimes.com/2019/01/02/us/politics/mitt-romney-trump-republicans.html,20190102,https://static01.nyt.com/images/2019/01/03/us/politics/03romney1-promo/03romney1-promo-articleLarge-v2.jpg,"WASHINGTON — After more than six years of less-than-heartfelt endorsements, a bitter parting of ways and a momentary rapprochement, the relationship between Mitt Romney and President Trump returned Wednesday to where it began: awkward, transactional and lingering uneasily between friend and foe."
"Sexism Claims From Bernie Sanders’s 2016 Run: Paid Less, Treated Worse",Politics,82bd5a29-0017-40f5-b199-ea86da7653c6,https://www.nytimes.com/2019/01/02/us/politics/bernie-sanders-campaign-sexism.html,20190102,https://static01.nyt.com/images/2019/01/02/us/politics/02berniesanders1/merlin_147434064_7ac4b167-43c6-4c3d-b83b-3cf3841182e3-articleLarge.jpg,"In February 2016, Giulianna Di Lauro, a Latino outreach strategist for Senator Bernie Sanders’s presidential operation, complained to her supervisor that she had been harassed by a campaign surrogate whom she drove to events ahead of the Democratic primary in Nevada."
E.C.B. Takes Reins of Italian Bank to Prevent Wider Crisis,Business,5cddbde3-e424-4624-a65b-eb1b9dae94a6,https://www.nytimes.com/2019/01/02/business/ecb-italian-bank-banca-carige.html,20190102,https://static01.nyt.com/images/2019/01/03/business/03ITALYBANK/02ITALYBANK-articleLarge.jpg,"FRANKFURT — The European Central Bank took control of a troubled Italian bank Wednesday, an unprecedented step that spotlighted the risks to the eurozone’s financial system from political chaos in Rome and a sputtering economy."
