Sentiment,title,category,id,sourceurl,publishdate
Negative,A Bruised Trump Faces Uncertain 2020 Prospects. His Team Fears a Primary Fight.,Politics,41772f23-0589-4126-8f41-a866e51aeba0,https://www.nytimes.com/2019/01/26/us/politics/trump-rnc-2020.html,20190126
Negative,"A School Board Says No to Big Oil, and Alarms Sound in Business-Friendly Louisiana",Business,83422000-9dc9-4ce5-b442-a93c00a6c04a,https://www.nytimes.com/2019/02/05/us/louisiana-itep-exxon-mobil.html,20190205
Negative,A Super Bowl Mermaid Ad and a Sexist Audition,Business,4ae4ca83-837e-4ed7-8e53-79b4501b9244,https://www.nytimes.com/2019/02/08/business/media/bikini-audition-super-bowl-ad-seltzer.html,20190208
Negative,A Tiny Screw Shows Why iPhones Won’t Be ‘Assembled in U.S.A.’,Business,ea30f8cb-d2e1-4e09-a59d-01ce93bbdd31,https://www.nytimes.com/2019/01/28/technology/iphones-apple-china-made.html,20190128
Negative,"‘A Woman, Just Not That Woman’: How Sexism Plays Out on the Trail",Politics,733d4419-c516-4a5d-b0e1-23bc150bca17,https://www.nytimes.com/2019/02/11/us/politics/sexism-double-standard-2020.html,20190211
Negative,‘Businesses Will Not Be Able to Hide’: Spy Satellites May Give Edge From Above,Business,fadc745b-b51f-40dd-bd05-3a44bd870713,https://www.nytimes.com/2019/01/24/technology/satellites-artificial-intelligence.html,20190124
Negative,"‘He May Not Even Be a Free Person,’ Elizabeth Warren Says of Trump in 2020",Politics,813c7380-5d36-47e8-a2c8-d7a72dd040b8,https://www.nytimes.com/2019/02/10/us/politics/elizabeth-warren-trump-2020.html,20190210
Negative,‘Not All Fun and Memes’: BuzzFeed News Employees Plan to Form a Union,Business,9205ec9b-7d18-4e1e-86f6-6687f6edc7c7,https://www.nytimes.com/2019/02/12/business/buzzfeed-news-union-layoffs.html,20190212
Negative,‘There’s a Real Tension.’ Democrats Puzzle Over Whether a Woman Will Beat Trump,Politics,f12be3a4-cb3f-42b5-8912-11fe2a35f26a,https://www.nytimes.com/2019/01/05/us/politics/women-candidates-president-2020.html,20190105
Negative,"After Burst of Holiday Spending, a Plan for a ‘Frugal February’",Business,da296131-2994-4b2e-9103-9c46cabcce09,https://www.nytimes.com/2019/02/01/your-money/holiday-spending-frugal-february.html,20190201
Negative,Amazon Knows What You Buy. And It’s Building a Big Ad Business From It.,Business,86b3129c-6f11-482e-be6d-f41afd1508ff,https://www.nytimes.com/2019/01/20/technology/amazon-ads-advertising.html,20190120
